Time [ns],V(AM_SI) [mV],V(SI) [mV],Time [ns],V(AM_SI) [mV],V(SI) [mV]
10.93401739,118.1658426,118.1691358,1.3125E-08,86.87117955,86.87370214
11.04681968,4.103319923,4.104843342,1.325E-08,7.32E-01,0.733049534
11.15962197,-116.7019653,-116.7030367,1.3375E-08,-90.34877824,-90.34961015
11.27242425,-184.8008764,-184.8040636,1.35E-08,-142.6356323,-142.6380488
11.38522654,-168.5692993,-168.5730608,1.3625E-08,-1.33E+02,-132.9816704
11.49802883,-81.15683716,-81.15927712,1.375E-08,-70.41797754,-70.41981101
11.61083112,27.73334426,27.73343877,1.3875E-08,14.96051573,14.96062859
11.72363341,111.0778686,111.0805343,0.000000014,8.93E+01,89.31886446
11.8364357,150.9002564,150.9042902,1.4125E-08,127.3475813,127.3506781
11.94923799,143.6172941,143.6208218,1.425E-08,118.4109048,118.4136438
12.06204027,85.92155319,85.92299744,1.4375E-08,6.69E+01,66.90023147
12.17484256,-9.819173529,-9.820358879,1.45E-08,-10.16154581,-10.16239305
12.28764485,-106.2446448,-106.2477835,1.4625E-08,-85.82788303,-85.83027485
12.40044714,-161.8365925,-161.8401908,1.475E-08,-1.31E+02,-130.6294925
12.51324943,-155.0087761,-155.0112014,1.4875E-08,-126.2381202,-126.2400219
12.62605172,-90.63964783,-90.63985299,0.000000015,-75.08519143,-75.085385
12.73885401,4.838393262,4.840431394,1.5125E-08,2.99E+00,2.989014653
12.8516563,96.61450297,96.61788229,1.525E-08,81.03889926,81.04157113
12.96445858,157.2394052,157.2427109,1.5375E-08,132.9006979,132.9033645
13.07726087,169.1868928,169.1888468,1.55E-08,1.39E+02,138.6337308
13.19006316,120.0247727,120.0247507,1.5625E-08,91.22063236,91.22075228
13.30286545,13.25437192,13.25265777,1.575E-08,2.935685405,2.934414318
13.41566774,-114.1534019,-114.1559221,1.5875E-08,-9.41E+01,-94.05648087
13.52847003,-201.3632042,-201.3656195,0.000000016,-157.6408138,-157.6429867
13.64127232,-201.1282258,-201.1300513,1.6125E-08,-155.7908038,-155.7925769
13.7540746,-110.2184034,-110.2195344,1.625E-08,-8.58E+01,-85.78626322
13.86687689,29.55781107,29.55752483,1.6375E-08,22.30862562,22.30861107
