Time [ns],V(FET_in) [mV]
1040566.3557703112,1.0
1041690.0775368019,1.0
1042813.7993032924,1.0
1043937.521069783,1.0
1045061.2428362735,1.0
1046184.9646027643,1.0
1047308.6863692548,1.0
1048432.4081357454,1.0
1049556.1299022362,1.0
1050679.8516687267,1.0
1051803.5734352174,1.0
1052927.295201708,1.0
1054051.0169681986,1.0
1055174.738734689,1.0
1056298.4605011798,1.0
1057422.1822676705,1.0
1058545.904034161,1.0
1059669.6258006515,1.0
1060793.3475671425,1.0
1061917.069333633,1.0
1063040.7911001234,1.0
1064164.5128666142,1.0
1065288.2346331049,1.0
1066411.9563995954,1.0
1067535.678166086,1.0
1068659.3999325766,1.0
1069783.1216990673,1.0
1070906.8434655578,1.0
1072030.5652320485,1.0
1073154.286998539,1.0
1074278.0087650297,1.0
1075401.7305315204,1.0
1076525.452298011,1.0
1077649.1740645014,1.0
1078772.8958309924,1.0
1079896.6175974829,1.0
1081020.3393639734,1.0
1082144.0611304638,1.0
1083267.7828969548,1.0
1084391.5046634453,1.0
1085515.2264299358,1.0
1086638.9481964265,1.0
1087762.669962917,1.0
1088886.3917294077,1.0
1090010.1134958984,1.0
1091133.835262389,1.0
1092257.5570288794,1.0
1093381.2787953704,1.0
1094505.0005618609,1.0
1095628.7223283513,1.0
1096752.4440948418,1.0
1097876.1658613328,1.0
1098999.8876278233,1.0
1100123.6093943138,1.0
1101247.3311608045,1.0
1102371.0529272952,1.0
1103494.7746937857,1.0
1104618.4964602764,1.0
1105742.218226767,1.0
1106865.9399932576,1.0
1107989.6617597481,1.0
1109113.3835262388,1.0
1110237.1052927293,1.0
1111360.82705922,1.0
1112484.5488257108,1.0
1113608.2705922013,1.0
1114731.9923586918,1.0
1115855.7141251827,1.0
1116979.4358916732,1.0
1118103.1576581637,1.0
1119226.8794246542,1.0
1120350.6011911451,1.0
1121474.3229576356,1.0
1122598.044724126,1.0
1123721.7664906168,1.0
1124845.4882571076,1.0
1125969.210023598,1.0
1127092.9317900888,1.0
1128216.6535565793,1.0
1129340.37532307,1.0
1130464.0970895607,1.0
1131587.8188560512,1.0
1132711.5406225417,1.0
1133835.2623890324,1.0
1134958.9841555231,1.0
1136082.7059220136,1.0
1137206.427688504,1.0
1138330.1494549948,1.0
1139453.8712214855,1.0
1140577.592987976,1.0
1141701.3147544668,1.0
1142825.0365209572,1.0
1143948.758287448,1.0
1145072.4800539385,1.0
1146196.2018204292,1.0
1147319.9235869197,1.0
1148443.6453534104,1.0
1149567.367119901,1.0
1150691.0888863916,1.0
1151814.810652882,1.0
1152938.532419373,1.0
1154062.2541858635,1.0
1155185.975952354,1.0
1156309.6977188447,1.0
1157433.4194853355,1.0
1158557.141251826,1.0
1159680.8630183164,1.0
1160804.5847848072,1.0
1161928.306551298,1.0
1163052.0283177884,1.0
1164175.750084279,1.0
1165299.4718507696,1.0
1166423.1936172603,1.0
1167546.915383751,1.0
1168670.6371502415,1.0
1169794.358916732,1.0
1170918.0806832227,1.0
1172041.8024497135,1.0
1173165.524216204,1.0
1174289.2459826944,1.0
1175412.9677491854,1.0
1176536.689515676,1.0
1177660.4112821664,1.0
1178784.133048657,1.0
1179907.8548151478,1.0
1181031.5765816383,1.0
1182155.298348129,1.0
1183279.0201146195,1.0
1184402.7418811102,1.0
1185526.4636476007,1.0
1186650.1854140915,1.0
1187773.907180582,1.0
1188897.6289470727,1.0
1190021.3507135634,1.0
1191145.0724800539,1.0
1192268.7942465444,1.0
1193392.516013035,1.0
1194516.2377795258,1.0
1195639.9595460163,1.0
1196763.6813125068,1.0
1197887.4030789975,1.0
1199011.1248454882,1.0
1200134.8466119787,1.0
1201258.5683784694,1.0
1202382.29014496,1.0
1203506.0119114507,1.0
1204629.7336779414,1.0
1205753.4554444319,1.0
1206877.1772109224,1.0
1208000.898977413,1.0
1209124.6207439038,1.0
1210248.3425103943,1.0
1211372.0642768848,1.0
1212495.7860433757,1.0
1213619.5078098662,1.0
1214743.2295763567,1.0
1215866.9513428474,1.0
1216990.6731093382,1.0
1218114.3948758286,1.0
1219238.1166423194,1.0
1220361.8384088099,1.0
1221485.5601753006,1.0
1222609.281941791,1.0
1223733.0037082818,1.0
1224856.7254747723,1.0
1225980.447241263,1.0
1227104.1690077537,1.0
1228227.8907742442,1.0
1229351.6125407347,1.0
1230475.3343072254,1.0
1231599.0560737161,1.0
1232722.7778402066,1.0
1233846.4996066971,1.0
1234970.2213731878,1.0
1236093.9431396786,1.0
1237217.664906169,1.0
1238341.3866726598,1.0
1239465.1084391503,1.0
1240588.830205641,1.0
1241712.5519721317,1.0
1242836.2737386222,1.0
1243959.9955051127,1.0
1245083.7172716036,1.0
1246207.4390380941,1.0
1247331.1608045846,1.0
1248454.882571075,1.0
1249578.604337566,1.0
1250702.3261040566,1.0
1251826.047870547,1.0
1252949.7696370378,1.0
1254073.4914035285,1.0
1255197.213170019,1.0
1256320.9349365097,1.0
1257444.6567030002,1.0
1258568.378469491,1.0
1259692.1002359814,1.0
1260815.8220024721,1.0
1261939.5437689626,1.0
1263063.2655354533,1.0
1264186.987301944,1.0
1265310.7090684345,1.0
1266434.430834925,1.0
1267558.152601416,1.0
1268681.8743679065,1.0
1269805.596134397,1.0
1270929.3179008875,1.0
1272053.0396673784,1.0
1273176.761433869,1.0
